id,name,full_name,language,new stars,description,forks_count,stargazers_count,owner
1181927,bitcoin,bitcoin/bitcoin,C++,161,Bitcoin Core integration/staging tree,29611,56135,|{'html_url': 'https://github.com/bitcoin/bitcoin', 'avatar_url': 'https://avatars.githubusercontent.com/u/1181927?v=4', 'login': 'bitcoin'}|
23357588,protobuf,protocolbuffers/protobuf,C++,192,Protocol Buffers - Google's data interchange format,13078,49903,|{'html_url': 'https://github.com/protocolbuffers/protobuf', 'avatar_url': 'https://avatars.githubusercontent.com/u/23357588?v=4', 'login': 'protobuf'}|
74627617,openpilot,commaai/openpilot,C++,1651,openpilot is an open source driver assistance system. openpilot performs the functions of Automated Lane Centering and Adaptive Cruise Control for over 100 supported car makes and models.,5374,28496,|{'html_url': 'https://github.com/commaai/openpilot', 'avatar_url': 'https://avatars.githubusercontent.com/u/74627617?v=4', 'login': 'openpilot'}|
11171548,json,nlohmann/json,C++,105,JSON for Modern C++,4443,25600,|{'html_url': 'https://github.com/nlohmann/json', 'avatar_url': 'https://avatars.githubusercontent.com/u/11171548?v=4', 'login': 'json'}|
1116542,aria2,aria2/aria2,C++,217,|aria2 is a lightweight multi-protocol & multi-source, cross platform download utility operated in command-line. It supports HTTP/HTTPS, FTP, SFTP, BitTorrent and Metalink.|,2758,23589,|{'html_url': 'https://github.com/aria2/aria2', 'avatar_url': 'https://avatars.githubusercontent.com/u/1116542?v=4', 'login': 'aria2'}|
116167731,yuzu,yuzu-emu/yuzu,C++,573,Nintendo Switch Emulator,1350,15918,|{'html_url': 'https://github.com/yuzu-emu/yuzu', 'avatar_url': 'https://avatars.githubusercontent.com/u/116167731?v=4', 'login': 'yuzu'}|
34777562,srs,ossrs/srs,C++,87,|SRS is a simple, high efficiency and realtime video server, supports RTMP/WebRTC/HLS/HTTP-FLV/SRT/GB28181.|,3976,15316,|{'html_url': 'https://github.com/ossrs/srs', 'avatar_url': 'https://avatars.githubusercontent.com/u/34777562?v=4', 'login': 'srs'}|
32969220,Arduino,esp8266/Arduino,C++,28,ESP8266 core for Arduino,11344,13164,|{'html_url': 'https://github.com/esp8266/Arduino', 'avatar_url': 'https://avatars.githubusercontent.com/u/32969220?v=4', 'login': 'Arduino'}|
1217614,xbmc,xbmc/xbmc,C++,27,|Kodi is an award-winning free and open source home theater/media center software and entertainment hub for digital media. With its beautiful interface and powerful skinning engine, it's available for Android, BSD, Linux, macOS, iOS and Windows.|,5729,12715,|{'html_url': 'https://github.com/xbmc/xbmc', 'avatar_url': 'https://avatars.githubusercontent.com/u/1217614?v=4', 'login': 'xbmc'}|
27500243,libphonenumber,google/libphonenumber,C++,114,|Google's common Java, C++ and JavaScript library for parsing, formatting, and validating international phone numbers.|,1671,12567,|{'html_url': 'https://github.com/google/libphonenumber', 'avatar_url': 'https://avatars.githubusercontent.com/u/27500243?v=4', 'login': 'libphonenumber'}|
14981376,dogecoin,dogecoin/dogecoin,C++,229,very currency,2233,12545,|{'html_url': 'https://github.com/dogecoin/dogecoin', 'avatar_url': 'https://avatars.githubusercontent.com/u/14981376?v=4', 'login': 'dogecoin'}|
192025001,Qv2ray,Qv2ray/Qv2ray,C++,256,|:star: Linux / Windows / macOS 跨平台 V2Ray 客户端 || 支持 VMess / VLESS / SSR / Trojan / Trojan-Go / NaiveProxy / HTTP / HTTPS / SOCKS5 || 使用 C++ / Qt 开发 || 可拓展插件式设计 :star:|,1920,11796,|{'html_url': 'https://github.com/Qv2ray/Qv2ray', 'avatar_url': 'https://avatars.githubusercontent.com/u/192025001?v=4', 'login': 'Qv2ray'}|
6520784,rpcs3,RPCS3/rpcs3,C++,574,PS3 emulator/debugger,1502,9826,|{'html_url': 'https://github.com/RPCS3/rpcs3', 'avatar_url': 'https://avatars.githubusercontent.com/u/6520784?v=4', 'login': 'rpcs3'}|
1204412,TrinityCore,TrinityCore/TrinityCore,C++,81,|TrinityCore Open Source MMO Framework (master = 9.1.0.39653, 3.3.5 = 3.3.5a.12340)|,5141,6890,|{'html_url': 'https://github.com/TrinityCore/TrinityCore', 'avatar_url': 'https://avatars.githubusercontent.com/u/1204412?v=4', 'login': 'TrinityCore'}|
108102826,carla,carla-simulator/carla,C++,47,Open-source simulator for autonomous driving research.,1899,6324,|{'html_url': 'https://github.com/carla-simulator/carla', 'avatar_url': 'https://avatars.githubusercontent.com/u/108102826?v=4', 'login': 'carla'}|
6486826,ppsspp,hrydgard/ppsspp,C++,32,|A PSP emulator for Android, Windows, Mac and Linux, written in C++. Want to contribute? Join us on Discord at https://discord.gg/5NJB6dD or just send pull requests / issues. For discussion use the forums on ppsspp.org.|,1627,6268,|{'html_url': 'https://github.com/hrydgard/ppsspp', 'avatar_url': 'https://avatars.githubusercontent.com/u/6486826?v=4', 'login': 'ppsspp'}|
48068902,EASTL,electronicarts/EASTL,C++,52,EASTL stands for Electronic Arts Standard Template Library.  It is an extensive and robust implementation that has an emphasis on high performance.,679,5842,|{'html_url': 'https://github.com/electronicarts/EASTL', 'avatar_url': 'https://avatars.githubusercontent.com/u/48068902?v=4', 'login': 'EASTL'}|
89067146,ethminer,ethereum-mining/ethminer,C++,24,|Ethereum miner with OpenCL, CUDA and stratum support|,1923,5339,|{'html_url': 'https://github.com/ethereum-mining/ethminer', 'avatar_url': 'https://avatars.githubusercontent.com/u/89067146?v=4', 'login': 'ethminer'}|
64561753,jetson-inference,dusty-nv/jetson-inference,C++,37,Hello AI World guide to deploying deep-learning inference networks and deep vision primitives with TensorRT and NVIDIA Jetson.,2146,4761,|{'html_url': 'https://github.com/dusty-nv/jetson-inference', 'avatar_url': 'https://avatars.githubusercontent.com/u/64561753?v=4', 'login': 'jetson-inference'}|
235070415,Waifu2x-Extension-GUI,AaronFeng753/Waifu2x-Extension-GUI,C++,69,|Video, Image and GIF upscale/enlarge(Super-Resolution) and Video frame interpolation. Achieved with Waifu2x, SRMD, RealSR, Anime4K, RIFE, CAIN, DAIN, Real-ESRGAN and ACNet.|,445,4529,|{'html_url': 'https://github.com/AaronFeng753/Waifu2x-Extension-GUI', 'avatar_url': 'https://avatars.githubusercontent.com/u/235070415?v=4', 'login': 'Waifu2x-Extension-GUI'}|
299510783,mold,rui314/mold,C++,121,mold: A Modern Linker,68,2727,|{'html_url': 'https://github.com/rui314/mold', 'avatar_url': 'https://avatars.githubusercontent.com/u/299510783?v=4', 'login': 'mold'}|
83542585,LeetCode,wisdompeak/LeetCode,C++,33,This repository contains the solutions and explanations to the algorithm problems on LeetCode. Only medium or above are included. All are written in C++/Python and implemented by myself. The problems attempted multiple times are labelled with hyperlinks.,421,1567,|{'html_url': 'https://github.com/wisdompeak/LeetCode', 'avatar_url': 'https://avatars.githubusercontent.com/u/83542585?v=4', 'login': 'LeetCode'}|
77624593,chatterino2,Chatterino/chatterino2,C++,17,Chat client for https://twitch.tv,203,932,|{'html_url': 'https://github.com/Chatterino/chatterino2', 'avatar_url': 'https://avatars.githubusercontent.com/u/77624593?v=4', 'login': 'chatterino2'}|
271154586,SDRPlusPlus,AlexandreRouma/SDRPlusPlus,C++,81,Cross-Platform SDR Software,66,718,|{'html_url': 'https://github.com/AlexandreRouma/SDRPlusPlus', 'avatar_url': 'https://avatars.githubusercontent.com/u/271154586?v=4', 'login': 'SDRPlusPlus'}|
382946977,openvr_fsr,fholger/openvr_fsr,C++,216,Add FidelityFX SuperResolution to SteamVR games,16,554,|{'html_url': 'https://github.com/fholger/openvr_fsr', 'avatar_url': 'https://avatars.githubusercontent.com/u/382946977?v=4', 'login': 'openvr_fsr'}|
